Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/81619135/salvage-2013-ford-f150-supercrew-al-mobile,81619135,"11,296 USD",Future,2013,FORD,F150 SUPER,5.0L  8,8,1FTFW1CF6DF******,CERT OF TITLE-SALVAGE TITLE,"152,015 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/81271575/salvage-2009-honda-fit-sport-al-mobile,81271575,"7,163 USD",Future,2009,HOND,FIT SPORT,1.5L  4,4,JHMGE88669S******,CERT OF TITLE-SALVAGED,"158,497 E",EXEMPT,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/81231415/clean-title-2013-chevrolet-silverado-k1500-lt-al-mobile,81231415,"8,000 USD",Future,2013,CHEV,SILVERADO,5.3L  8,8,3GCPKSE76DG******,CERTIFICATE OF TITLE,"240,165 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/80997435/salvage-2013-nissan-rogue-s-al-mobile,80997435,"5,957 USD",Future,2013,NISS,ROGUE S,2.5L  4,4,JN8AS5MT1DW******,CERT OF TITLE-SALVAGED,"218,302 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/80945244/salvage-2019-toyota-corolla-l-al-mobile,80945244,"15,426 USD",Future,2019,TOYT,COROLLA L,1.8L  4,4,5YFBURHE7KP******,CERT OF TITLE-SALVAGE TITLE,"67,623 A",ACTUAL,TOP/ROOF,900 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/80749275/2019-mercedes-benz-glc-300-al-mobile,80749275,"17,016 USD",Future,2019,MERZ,GLC 300,2.0L  4,4,WDC0G4JB0K1******,CERT OF TITLE-PARTS ONLY SALVG,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/80511025/clean-title-2014-ford-f350-super-duty-al-mobile,80511025,"9,500 USD",Future,2014,FORD,F350 SUPER,6.7L  8,8,1FT8W3BT1EE******,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,SIDE,275 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/80394515/salvage-2007-honda-accord-value-al-mobile,80394515,"3,075 USD",Future,2007,HOND,ACCORD VALUE,2.4L  4,4,1HGCM55197A******,CERT OF TITLE-SALVAGED,0 E,EXEMPT,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/80364535/salvage-2014-dodge-charger-sxt-al-mobile,80364535,"6,813 USD",Future,2014,DODG,CHARGER SX,3.6L  6,6,2C3CDXHG4EH******,CERT OF TITLE-SALVAGED,"150,365 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/78912124/salvage-2016-jeep-wrangler-sport-al-mobile,78912124,"15,932 USD",Future,2016,JEP,WRANGLER S,3.6L  6,6,1C4GJWAG0GL******,CERT OF TITLE-SALVAGE TITLE,"131,661 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/78825344/salvage-2010-chevrolet-cobalt-1lt-al-mobile,78825344,"4,642 USD",Future,2010,CHEV,COBALT 1LT,2.2L  4,4,1G1AD5F5XA7******,CERT OF TITLE-SALVAGE TITLE,"112,522 E",EXEMPT,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/78824564/clean-title-2007-chevrolet-malibu-ls-al-mobile,78824564,"1,649 USD",Future,2007,CHEV,MALIBU,2.2L  4,4,1G1ZS58F07F******,BILL OF SALE - ABANDONED,"145,126 E",EXEMPT,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/78501654/salvage-2014-gmc-sierra-k1500-slt-al-mobile,78501654,"21,566 USD",Future,2014,GMC,SIERRA K15,5.3L  8,8,3GTU2VEC3EG******,CERT OF TITLE-SALVAGE TITLE,"115,262 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/77806974/salvage-2017-gmc-sierra-k1500-slt-al-mobile,77806974,"34,192 USD",Future,2017,GMC,SIERRA K15,5.3L  8,8,3GTU2NEC5HG******,CERT OF TITLE-SALVAGE TITLE,"48,578 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/77652244/salvage-2015-chevrolet-silverado-k2500-heavy-duty-al-mobile,77652244,"19,942 USD",Future,2015,CHEV,SILVERADO,6.6L  8,8,1GC1KUE89FF******,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,BURN - ENGINE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/77403184/salvage-2015-mazda-6-touring-al-mobile,77403184,"10,181 USD",Future,2015,MAZD,6 TOURING,2.5L  4,4,JM1GJ1V67F1******,CERT OF TITLE-SALVAGE TITLE,"133,544 A",ACTUAL,SIDE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/77376534/salvage-2016-kia-optima-lx-al-mobile,77376534,"6,144 USD",Future,2016,KIA,OPTIMA LX,2.4L  4,4,5XXGT4L36GG******,CERT OF TITLE-SALVAGE TITLE,"212,650 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/76197344/salvage-2021-hyundai-palisade-se-al-mobile,76197344,"22,789 USD",Future,2021,HYUN,PALISADE S,3.8L  6,6,KM8R14HE7MU******,CERT OF TITLE-SALVAGE TITLE,"100,225 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/76142814/2024-chevrolet-malibu-rs-al-mobile,76142814,"22,412 USD",Future,2024,CHEV,MALIBU RS,1.5L  4,4,1G1ZG5ST1RF******,CERTIFICATE OF TITLE - JUNK,"15,359 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/75346634/clean-title-2015-jeep-wrangler-sport-al-mobile,75346634,"17,486 USD",Future,2015,JEP,WRANGLER S,3.6L  6,6,1C4AJWAG8FL******,BILL OF SALE,"107,825 A",ACTUAL,FRONT END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
https://www.copart.com/lot/72081255/salvage-2019-ford-edge-titanium-al-mobile,72081255,"12,307 USD",Future,2019,FORD,EDGE TITAN,2.0L  4,4,2FMPK3K9XKB******,CERT OF TITLE-SALVAGE TITLE,"101,107 A",ACTUAL,REAR END,0 USD,0 USD,0,AL - MOBILE,0,N/A,N/A
