Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/66914005/salvage-2021-jeep-compass-80th-edition-al-birmingham,66914005,"16,342 USD",11/04/2025 12:00 pm CST,2021,JEP,COMPASS 80,2.4L  4,4,3C4NJCEB3MT******,CERT OF TITLE-SALVAGE TITLE,"62,069 A",ACTUAL,FRONT END,0 USD,0 USD,25,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/66450395/clean-title-2016-nissan-versa-s-al-mobile-south,66450395,$1 USD,11/04/2025 12:00 pm CST,2016,NISS,VERSA S,1.6L  4,4,3N1CN7AP2GL******,CERTIFICATE OF TITLE,"174,321 N",NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,2008,AL - MOBILE SOUTH,0,N/A,N/A
https://www.copart.com/lot/66281965/salvage-2023-chrysler-300-touring-l-al-birmingham,66281965,"36,398 USD",11/04/2025 12:00 pm CST,2023,CHRY,300 TOURIN,3.6L  6,6,2C3CCADG9PH******,CERT OF TITLE-SALVAGE TITLE,"36,723 A",ACTUAL,SIDE,0 USD,0 USD,2251,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/66201215/salvage-2020-kia-sportage-lx-al-birmingham,66201215,"17,582 USD",11/04/2025 12:00 pm CST,2020,KIA,SPORTAGE LX,2.4L  4,4,KNDPM3AC8L7******,CERT OF TITLE-SALVAGE TITLE,"53,749 A",ACTUAL,FRONT END,0 USD,0 USD,110,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/66175455/salvage-2021-mazda-3-premium-al-birmingham,66175455,"19,396 USD",11/04/2025 12:00 pm CST,2021,MAZD,3 PREMIUM,2.5L  4,4,3MZBPADL5MM******,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,4057,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/66015165/2023-kia-rio-lx-al-birmingham,66015165,"15,824 USD",11/04/2025 12:00 pm CST,2023,KIA,RIO LX,1.6L  4,4,3KPA24ADXPE******,CERT OF TITLE-PARTS ONLY SALVG,0 N,NOT ACTUAL,BURN,0 USD,0 USD,2004,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/65952945/salvage-2025-gmc-sierra-k1500-at4x-al-birmingham,65952945,"85,485 USD",11/04/2025 12:00 pm CST,2025,GMC,SIERRA,6.2L  8,8,3GTUUFEL6SG******,CERT OF TITLE-SALVAGE TITLE,741 A,ACTUAL,FRONT END,175 USD,0 USD,2006,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/65898295/salvage-2018-mitsubishi-mirage-g4-es-al-birmingham,65898295,"6,515 USD",11/04/2025 12:00 pm CST,2018,MITS,MIRAGE G4 ES,1.2L  3,3,ML32F3FJ2JH******,CERT OF TITLE-SALVAGE TITLE,"117,650 A",ACTUAL,FRONT END,175 USD,0 USD,3361,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/65806695/salvage-2021-ram-1500-classic-slt-al-birmingham,65806695,"22,176 USD",11/04/2025 12:00 pm CST,2021,RAM,1500 CLASSIC SLT,5.7L  8,8,1C6RR7LT0MS******,CERT OF TITLE-SALVAGE TITLE,"217,361 N",NOT ACTUAL,SIDE,0 USD,0 USD,2270,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/65579905/salvage-2022-genesis-gv70-base-al-birmingham,65579905,"25,356 USD",11/04/2025 12:00 pm CST,2022,GENS,GV70 BASE,2.5L  4,4,KMUMADTB2NU******,CERT OF TITLE-SALVAGE TITLE,"90,347 A",ACTUAL,REAR END,0 USD,0 USD,2254,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/65562705/salvage-2025-hyundai-santa-fe-calligraphy-al-birmingham,65562705,"41,027 USD",11/04/2025 12:00 pm CST,2025,HYUN,SANTA FE CALLIGRAPHY,2.5L  4,4,5NMP54GL4SH******,CERT OF TITLE-SALVAGE TITLE,"12,621 A",ACTUAL,FRONT END,0 USD,0 USD,4084,AL - BIRMINGHAM,0,N/A,N/A
https://www.copart.com/lot/65527365/salvage-2017-ford-focus-sel-al-birmingham,65527365,"9,041 USD",11/04/2025 12:00 pm CST,2017,FORD,FOCUS SEL,2.0L  4,4,1FADP3H20HL******,CERT OF TITLE-SALVAGE,"62,859 A",ACTUAL,REAR END,175 USD,0 USD,2341,AL - BIRMINGHAM,0,N/A,N/A
